CCAA,GASTO_CONCIERTOS,AÑO,GASTO_PERC_PIB,GASTO_TOTAL,GASTO_HABITANTE,PUBLICA_HOSP,PRIVADA_HOSP,CONCIERTO_HOSP,OTRA_HOSP,PUBLICA_BEDS,PRIVADA_BEDS,CONCIERTO_BEDS,OTRA_BEDS
ANDALUCÍA,,2019,,,,48.0,47.0,17.0,,15367.0,3952.0,2030.0,
ARAGÓN,,2019,,,,17.0,1.0,11.0,,4016.0,50.0,1188.0,
ASTURIAS,,2019,,,,9.0,10.0,6.0,,2775.0,278.0,732.0,
BALEARES,,2019,,,,7.0,6.0,12.0,,2046.0,542.0,1263.0,
CEUTA,,2019,,,,1.0,,,,252.0,,,
CEUTA,,2019,,,,1.0,,,,252.0,,,
CANARIAS,,2019,,,,9.0,6.0,23.0,,4329.0,258.0,2964.0,
CANTABRIA,,2019,,,,3.0,1.0,3.0,,1355.0,105.0,560.0,
CASTILLA Y LEÓN,,2019,,,,12.0,2.0,23.0,,6478.0,329.0,2607.0,
CASTILLA-LA MANCHA,,2019,,,,19.0,3.0,6.0,,5203.0,65.0,321.0,
CATALUÑA,,2019,,,,29.0,116.0,68.0,,4276.0,12127.0,18209.0,
EXTREMADURA,,2019,,,,10.0,2.0,8.0,,3418.0,52.0,392.0,
GALICIA,,2019,,,,14.0,4.0,18.0,,7524.0,89.0,2196.0,
LA RIOJA,,2019,,,,3.0,,4.0,,805.0,,245.0,
MELILLA,,2019,,,,1.0,,,,168.0,,,
MELILLA,,2019,,,,1.0,,,,168.0,,,
MADRID,,2019,,,,31.0,15.0,37.0,,12994.0,1593.0,5929.0,
MURCIA,,2019,,,,10.0,2.0,15.0,,3305.0,76.0,1528.0,
NAVARRA,,2019,,,,4.0,1.0,6.0,,1397.0,5.0,898.0,
PAÍS VASCO,,2019,,,,18.0,8.0,16.0,,5700.0,598.0,1711.0,
VALENCIA,,2019,,,,36.0,12.0,16.0,,10990.0,812.0,2190.0,
ANDALUCÍA,424528.0,2018,6.3,10184378.0,1212.0,47.0,46.0,18.0,,16133.0,3824.0,2091.0,
ARAGÓN,93695.0,2018,5.7,2106701.0,1601.0,17.0,2.0,10.0,,4034.0,325.0,911.0,
ASTURIAS,105808.0,2018,7.4,1716981.0,1676.0,9.0,10.0,6.0,,2773.0,289.0,737.0,
BALEARES,164368.0,2018,5.1,1654635.0,1407.0,7.0,6.0,12.0,,2069.0,542.0,1409.0,
CEUTA,,2018,,,,1.0,,,,252.0,,,
CEUTA,,2018,,118574.0,,1.0,,,,252.0,,,
CANARIAS,287818.0,2018,6.7,3061832.0,1399.0,9.0,6.0,23.0,,4311.0,242.0,3071.0,
CANTABRIA,31279.0,2018,6.5,896215.0,1543.0,3.0,1.0,3.0,,1355.0,105.0,560.0,
CASTILLA Y LEÓN,139713.0,2018,6.6,3801723.0,1577.0,12.0,2.0,22.0,,6517.0,329.0,2564.0,
