CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODPOSTAL,NCAMAS,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,OBSERVACIONES,CCAA,PROVINCIA,MUNICIPIO,FINALIDAD,PATRIMONIAL,FUNCIONALIDAD,AÑO
010035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),"ÁLAVA, 43",945006555,,945006587,01006,207,N,N,N,,N,N,S,,N,SECRETARIA.GERENCIA@osakidetza.eus,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,PSIQUIÁTRICO,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
010040,HOSPITAL SAN JOSÉ,"BEATO TOMÁS DE ZUMÁRRAGA, 10",945140900,,945145709,01008,63,N,N,N,,N,N,S,,N,diazdecorcueram@vithas.es,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,MÉDICO-QUIRÚRGICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
010053,HOSPITAL QUIRÓNSALUD VITORIA,"ESPERANZA, 3",945252500,,945279260,01002,26,N,N,N,,N,N,S,,S,josecarlos.mellado@quironsalud.es,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
010066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)","SALVATIERRABIDE, 9",945142100,,945143318,01007,82,N,N,N,,N,N,S,,S,info@hospitalsanonofre.com,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
010088,HOSPITAL DE LEZA,"CTRA. VITORIA - LOGROÑO, KM. 59",945006900,945006876,945006901,01309,63,N,N,N,,N,N,N,,N,hospital.leza@osakidetza.eus,,PAÍS VASCO,ÁLAVA,Laguardia,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
010090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),"JOSÉ ATXOTEGUI, S/N",945007000,945007007,945007359,01009,811,S,N,N,,N,N,S,,N,,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GENERAL,SEGURIDAD SOCIAL,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
020019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100,967597179,967243952,02006,705,S,S,N,,N,N,S,,N,,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020030,HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100,967597179,967243952,02006,0,S,N,S,020019,N,N,S,,N,,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020061,CLÍNICA SANTA CRISTINA ALBACETE,"PÉREZ GALDÓS, 7",967223300,,967507790,02003,42,N,N,N,,N,N,S,,S,svillanueva@clinicasantacristina.es,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
020096,HOSPITAL DE HELLÍN,"JUAN RAMÓN JIMÉNEZ, 40",967309500,967309517,967304611,02400,135,S,N,N,,N,N,N,,N,gai.hellin@sescam.jccm.es,,CASTILLA-LA MANCHA,ALBACETE,Hellín,GENERAL,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020100,QUIRONSALUD HOSPITAL ALBACETE,"PLAZA DEL MADROÑO, 11",967247100,,967245183,02008,65,N,N,N,,N,N,S,,S,albacete@quironsalud.es,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
020117,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DEL PERPETUO SOCORRO,"SEMINARIO, 4",967597799,,967597711,02006,0,S,N,S,020019,N,N,S,,N,,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020136,HOSPITAL GENERAL DE ALMANSA,"AVDA. ADOLFO SUÁREZ, S/N",967339526,967339529,967339546,02640,93,N,N,N,,N,N,N,,N,gai.almansa@sescam.jccm.es,,CASTILLA-LA MANCHA,ALBACETE,Almansa,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020147,HOSPITAL GENERAL DE VILLAROBLEDO,"AVENIDA MIGUEL DE CERVANTES, S/N",967133000,,967133002,02600,114,N,N,N,,N,N,N,,N,,,CASTILLA-LA MANCHA,ALBACETE,Villarrobledo,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
