CODCNH,NOMBRE,CODPOSTAL,NCAMAS,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,OBSERVACIONES,CCAA,PROVINCIA,MUNICIPIO,FINALIDAD,PATRIMONIAL,FUNCIONALIDAD,AÑO
010035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),01006,207,False,False,S,,False,SECRETARIA.GERENCIA@osakidetza.eus,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,PSIQUIÁTRICO,PUBLICA,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
010040,HOSPITAL SAN JOSÉ,01008,63,False,False,S,,False,diazdecorcueram@vithas.es,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,MÉDICO-QUIRÚRGICO,PRIVADA,PRIVADO NO BENÉFICO,2019
010053,HOSPITAL QUIRÓNSALUD VITORIA,01002,26,False,False,S,,True,josecarlos.mellado@quironsalud.es,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
010066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)",01007,82,False,False,S,,True,info@hospitalsanonofre.com,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GERIATRÍA Y/O LARGA ESTANCIA,CONCIERTO,PRIVADO NO BENÉFICO,2019
010088,HOSPITAL DE LEZA,01309,63,False,False,N,,False,hospital.leza@osakidetza.eus,,PAÍS VASCO,ÁLAVA,Laguardia,GENERAL,PUBLICA,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
010090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),01009,811,False,False,S,,False,,,PAÍS VASCO,ÁLAVA,Vitoria-Gasteiz,GENERAL,PUBLICA,SERVICIO VASCO DE SALUD-OSAKIDETZA,2019
020019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,02006,705,False,False,S,,False,,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,PUBLICA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020061,CLÍNICA SANTA CRISTINA ALBACETE,02003,42,False,False,S,,True,svillanueva@clinicasantacristina.es,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
020096,HOSPITAL DE HELLÍN,02400,135,False,False,N,,False,gai.hellin@sescam.jccm.es,,CASTILLA-LA MANCHA,ALBACETE,Hellín,GENERAL,PUBLICA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020100,QUIRONSALUD HOSPITAL ALBACETE,02008,65,False,False,S,,True,albacete@quironsalud.es,,CASTILLA-LA MANCHA,ALBACETE,Albacete,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
020136,HOSPITAL GENERAL DE ALMANSA,02640,93,False,False,N,,False,gai.almansa@sescam.jccm.es,,CASTILLA-LA MANCHA,ALBACETE,Almansa,GENERAL,PUBLICA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
020147,HOSPITAL GENERAL DE VILLAROBLEDO,02600,114,False,False,N,,False,,,CASTILLA-LA MANCHA,ALBACETE,Villarrobledo,GENERAL,PUBLICA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
030015,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,03010,794,False,False,S,,False,mena_lui@gva.es,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
